Input,Prediction
-1.26E+01,4.12E+01
-1.23E+01,-2.86E-01
-1.21E+01,-1.68E+01
-1.18E+01,-1.98E+01
-1.16E+01,-1.66E+01
-1.13E+01,-1.12E+01
-1.10E+01,-6.03E+00
-1.08E+01,-2.06E+00
-1.05E+01,3.24E-01
-1.03E+01,-3.05E-02
-1.00E+01,1.22E-01
-9.77E+00,4.32E-01
-9.52E+00,4.28E-01
-9.27E+00,6.79E-01
-9.01E+00,-5.58E-02
-8.76E+00,-3.54E-01
-8.50E+00,-6.14E-01
-8.25E+00,-7.99E-01
-8.00E+00,-9.00E-01
-7.74E+00,-9.10E-01
-7.49E+00,-8.42E-01
-7.24E+00,-7.46E-01
-6.98E+00,-5.81E-01
-6.73E+00,-3.60E-01
-6.47E+00,-9.94E-02
-6.22E+00,1.43E-01
-5.97E+00,3.80E-01
-5.71E+00,5.80E-01
-5.46E+00,7.17E-01
-5.20E+00,9.27E-01
-4.95E+00,1.04E+00
-4.70E+00,1.04E+00
-4.44E+00,9.71E-01
-4.19E+00,8.35E-01
-3.93E+00,6.56E-01
-3.68E+00,4.52E-01
-3.43E+00,2.36E-01
-3.17E+00,-4.50E-02
-2.92E+00,-3.14E-01
-2.67E+00,-5.42E-01
-2.41E+00,-7.18E-01
-2.16E+00,-8.39E-01
-1.90E+00,-9.03E-01
-1.65E+00,-9.13E-01
-1.40E+00,-8.70E-01
-1.14E+00,-7.79E-01
-8.89E-01,-6.48E-01
-6.35E-01,-4.84E-01
-3.81E-01,-2.96E-01
-1.27E-01,-9.56E-02
1.27E-01,1.09E-01
3.81E-01,3.10E-01
6.35E-01,4.96E-01
8.89E-01,6.58E-01
1.14E+00,7.89E-01
1.40E+00,8.77E-01
1.65E+00,9.15E-01
1.90E+00,9.03E-01
2.16E+00,8.35E-01
2.41E+00,7.11E-01
2.67E+00,5.30E-01
2.92E+00,2.98E-01
3.17E+00,2.48E-02
3.43E+00,-2.68E-01
3.68E+00,-4.83E-01
3.93E+00,-6.81E-01
4.19E+00,-8.53E-01
4.44E+00,-9.83E-01
4.70E+00,-1.05E+00
4.95E+00,-1.04E+00
5.20E+00,-9.38E-01
5.46E+00,-7.34E-01
5.71E+00,-5.46E-01
5.97E+00,-3.55E-01
6.22E+00,-1.19E-01
6.47E+00,1.35E-01
6.73E+00,3.93E-01
6.98E+00,6.40E-01
7.24E+00,8.25E-01
7.49E+00,8.94E-01
7.74E+00,9.88E-01
8.00E+00,1.04E+00
8.25E+00,9.66E-01
8.50E+00,7.61E-01
8.76E+00,5.04E-01
9.01E+00,1.74E-01
9.27E+00,9.41E-02
9.52E+00,7.43E-02
9.77E+00,1.01E+00
1.00E+01,3.57E+00
1.03E+01,8.70E+00
1.05E+01,1.76E+01
1.08E+01,2.84E+01
1.10E+01,4.16E+01
1.13E+01,5.85E+01
1.16E+01,7.90E+01
1.18E+01,1.03E+02
1.21E+01,1.30E+02
1.23E+01,1.59E+02
1.26E+01,1.86E+02
,
,
,
